"commit","id","name","node_id","serialVersionUID","tarball_url","zipball_url"
"Commit [sha=ee561704b90a556914d15c9c5b25fd411c43afb1, url=https://api.github.com/repos/WordPress/WordPress/commits/ee561704b90a556914d15c9c5b25fd411c43afb1]","60de456ff41b58030f40ba58","3.8.10","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy44LjEw","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.8.10","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.8.10"
"Commit [sha=1ea8e9a4f03f425a6a77c3487528fedd3f33c100, url=https://api.github.com/repos/WordPress/WordPress/commits/1ea8e9a4f03f425a6a77c3487528fedd3f33c100]","60de4821d827e516288d50cf","4.7.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC43LjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.7.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.7.2"
"Commit [sha=0608ca12bcf22e2b4d17ff069d332d7c0b55936f, url=https://api.github.com/repos/WordPress/WordPress/commits/0608ca12bcf22e2b4d17ff069d332d7c0b55936f]","60de4574f41b58030f40bb55","2.6.1","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi42LjE=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.6.1","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.6.1"
"Commit [sha=bd48d0d76cecb59b7007590784c6b8cf6b9f5cca, url=https://api.github.com/repos/WordPress/WordPress/commits/bd48d0d76cecb59b7007590784c6b8cf6b9f5cca]","60de4821d827e516288d50d0","5.3.5","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS4zLjU=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.3.5","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.3.5"
"Commit [sha=049c6e0636b6712d1bfe6fb736956897e0518420, url=https://api.github.com/repos/WordPress/WordPress/commits/049c6e0636b6712d1bfe6fb736956897e0518420]","60de470a1778ce403de104e7","4.4.23","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40LjIz","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4.23","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4.23"
"Commit [sha=e96baead0e112f45aa4fedd3c232e3da74d10c50, url=https://api.github.com/repos/WordPress/WordPress/commits/e96baead0e112f45aa4fedd3c232e3da74d10c50]","60de4571f41b58030f40bac9","4.4.17","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40LjE3","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4.17","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4.17"
"Commit [sha=c75501c296f5612c9fdd801fe8047d8ae31f28b1, url=https://api.github.com/repos/WordPress/WordPress/commits/c75501c296f5612c9fdd801fe8047d8ae31f28b1]","60de44d7d7d62a2031d11a58","4.4.8","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40Ljg=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4.8","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4.8"
"Commit [sha=2d525bf13578cd19c26d248b4164bf63d3c08793, url=https://api.github.com/repos/WordPress/WordPress/commits/2d525bf13578cd19c26d248b4164bf63d3c08793]","60de4570f41b58030f40ba64","4.6.16","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC42LjE2","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.6.16","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.6.16"
"Commit [sha=3a101dd37d14b5e78c80ba5c67f1dafc4b07e7ee, url=https://api.github.com/repos/WordPress/WordPress/commits/3a101dd37d14b5e78c80ba5c67f1dafc4b07e7ee]","60de456df41b58030f40b9b9","4.8.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC44LjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.8.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.8.2"
"Commit [sha=d03c2d04a0bf5071ac82518077a787d878d80727, url=https://api.github.com/repos/WordPress/WordPress/commits/d03c2d04a0bf5071ac82518077a787d878d80727]","60de470c1778ce403de1060a","3.9.4","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy45LjQ=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.9.4","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.9.4"
